Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/10/2004;00.00.00;1,9;1176;-200;10,4;993;206;659;91;1572;1178;20,3;66,4;1,5591;;
01/10/2004;01.00.00;1,6;1137;-200;9,7;967;140;687;74;1557;1091;19,4;69,3;1,5418;;
01/10/2004;02.00.00;1,3;1035;-200;6,9;851;132;764;69;1465;1002;19,0;70,8;1,5417;;
01/10/2004;03.00.00;0,8;943;-200;4,0;709;-200;893;-200;1348;876;20,2;65,8;1,5442;;
01/10/2004;04.00.00;0,6;904;-200;3,0;655;81;968;54;1326;824;19,8;67,2;1,5322;;
01/10/2004;05.00.00;0,7;966;-200;4,3;726;120;872;60;1371;892;19,0;70,3;1,5308;;
01/10/2004;06.00.00;1,6;1124;-200;9,8;972;279;674;69;1568;1092;18,8;71,8;1,5372;;
01/10/2004;07.00.00;2,9;1348;-200;17,2;1217;392;559;91;1816;1413;20,2;66,3;1,5550;;
01/10/2004;08.00.00;4,1;1499;-200;27,9;1501;433;469;97;2130;1565;20,8;64,3;1,5630;;
01/10/2004;09.00.00;3,7;1427;-200;20,5;1311;531;503;114;1900;1594;22,3;59,3;1,5705;;
01/10/2004;10.00.00;3,6;1473;-200;21,2;1330;619;497;129;1908;1677;23,2;56,6;1,5929;;
01/10/2004;11.00.00;3,4;1440;-200;19,9;1294;522;506;137;1879;1616;23,8;54,7;1,5870;;
01/10/2004;12.00.00;3,7;1474;-200;21,1;1326;505;485;134;1943;1610;23,5;56,2;1,6048;;
01/10/2004;13.00.00;4,1;1485;-200;22,3;1359;465;477;132;2005;1614;23,9;54,4;1,5963;;
01/10/2004;14.00.00;3,2;-200;-200;-200,0;-200;383;-200;123;-200;-200;-200;-200;-200;;
01/10/2004;15.00.00;2,4;1306;-200;12,9;1079;278;603;105;1668;1286;25,4;47,4;1,5170;;
01/10/2004;16.00.00;3,4;1464;-200;18,4;1251;372;530;136;1853;1487;26,4;45,4;1,5400;;
01/10/2004;17.00.00;5,6;1629;-200;26,5;1466;540;458;169;2130;1703;25,8;46,9;1,5375;;
01/10/2004;18.00.00;-200;1629;-200;29,4;1536;-200;435;-200;2205;1773;25,3;49,6;1,5805;;
01/10/2004;19.00.00;-200;1707;-200;33,7;1637;-200;411;-200;2338;1848;24,2;54,3;1,6117;;
01/10/2004;20.00.00;-200;1424;-200;19,9;1293;-200;524;-200;1902;1550;22,8;58,1;1,5951;;
01/10/2004;21.00.00;-200;1297;-200;13,5;1100;-200;598;-200;1710;1350;21,5;63,2;1,5993;;
01/10/2004;22.00.00;-200;1214;-200;11,2;1022;-200;645;-200;1592;1235;21,3;63,0;1,5798;;
01/10/2004;23.00.00;-200;1160;-200;9,1;944;-200;686;-200;1523;1162;20,8;64,1;1,5540;;
02/10/2004;00.00.00;-200;1232;-200;10,9;1012;-200;642;-200;1595;1211;20,6;64,0;1,5346;;
02/10/2004;01.00.00;-200;1134;-200;8,4;914;-200;699;-200;1512;1097;20,6;63,4;1,5190;;
02/10/2004;02.00.00;-200;1071;-200;7,1;860;-200;742;-200;1500;1021;20,4;64,4;1,5220;;
02/10/2004;03.00.00;-200;968;-200;4,3;730;-200;858;-200;1388;913;21,3;61,0;1,5290;;
02/10/2004;04.00.00;-200;994;-200;4,0;711;-200;867;-200;1384;909;20,5;64,0;1,5247;;
02/10/2004;05.00.00;-200;1046;-200;5,8;804;-200;774;-200;1458;983;20,3;65,3;1,5321;;
02/10/2004;06.00.00;-200;1066;-200;6,3;827;-200;751;-200;1479;1024;20,1;65,9;1,5321;;
02/10/2004;07.00.00;-200;1277;-200;12,3;1061;-200;612;-200;1691;1243;20,2;65,6;1,5368;;
02/10/2004;08.00.00;-200;1290;-200;13,3;1093;-200;592;-200;1677;1253;21,1;62,8;1,5481;;
02/10/2004;09.00.00;-200;1268;-200;12,5;1066;-200;608;-200;1665;1240;22,5;57,5;1,5518;;
02/10/2004;10.00.00;-200;1243;-200;10,5;997;-200;648;-200;1587;1155;24,2;51,9;1,5426;;
02/10/2004;11.00.00;-200;1300;-200;12,1;1053;-200;614;-200;1650;1193;25,2;48,9;1,5437;;
02/10/2004;12.00.00;-200;1278;-200;12,1;1053;-200;630;-200;1641;1153;25,8;47,8;1,5662;;
02/10/2004;13.00.00;-200;1249;-200;11,2;1023;-200;639;-200;1640;1034;25,7;49,2;1,5988;;
02/10/2004;14.00.00;-200;1145;-200;7,2;867;-200;739;-200;1499;870;25,8;49,6;1,6213;;
02/10/2004;15.00.00;-200;1199;-200;8,7;928;-200;704;-200;1533;890;25,7;48,8;1,5913;;
02/10/2004;16.00.00;-200;1236;-200;9,6;962;-200;690;-200;1589;946;26,5;45,9;1,5626;;
02/10/2004;17.00.00;-200;1289;-200;11,6;1037;-200;638;-200;1648;1033;25,4;48,9;1,5650;;
02/10/2004;18.00.00;-200;1299;-200;12,7;1072;-200;617;-200;1688;1107;24,4;52,5;1,5830;;
02/10/2004;19.00.00;-200;1506;-200;20,7;1315;-200;512;-200;1954;1395;23,9;54,6;1,5936;;
02/10/2004;20.00.00;-200;1432;-200;17,8;1234;-200;553;-200;1849;1342;22,9;57,9;1,5958;;
02/10/2004;21.00.00;-200;1193;-200;11,2;1021;-200;666;-200;1633;1152;22,1;61,1;1,6012;;
02/10/2004;22.00.00;-200;1188;-200;10,8;1007;-200;668;-200;1577;1128;20,8;65,6;1,5898;;
02/10/2004;23.00.00;-200;1162;-200;9,4;953;-200;691;-200;1526;1104;21,7;60,8;1,5630;;
03/10/2004;00.00.00;-200;1106;-200;8,5;921;-200;720;-200;1506;1055;21,1;62,8;1,5505;;
03/10/2004;01.00.00;-200;1037;-200;6,5;836;-200;788;-200;1467;904;20,7;63,2;1,5240;;
03/10/2004;02.00.00;-200;982;-200;5,1;768;-200;850;-200;1416;835;21,2;61,5;1,5241;;
03/10/2004;03.00.00;-200;944;-200;4,5;740;-200;881;-200;1412;781;20,3;64,6;1,5180;;
03/10/2004;04.00.00;-200;929;-200;3,9;703;-200;908;-200;1391;761;20,2;64,4;1,5035;;
03/10/2004;05.00.00;-200;906;-200;3,3;672;-200;948;-200;1377;742;20,1;65,3;1,5153;;
03/10/2004;06.00.00;-200;907;-200;3,2;665;-200;972;-200;1370;779;19,9;66,0;1,5141;;
03/10/2004;07.00.00;-200;1013;-200;5,4;781;-200;829;-200;1469;894;19,8;66,4;1,5145;;
03/10/2004;08.00.00;-200;1055;-200;5,6;795;-200;800;-200;1476;927;20,4;64,1;1,5178;;
03/10/2004;09.00.00;-200;1138;-200;7,5;880;-200;727;-200;1538;1034;21,6;60,8;1,5496;;
03/10/2004;10.00.00;-200;1250;-200;10,7;1003;-200;647;-200;1638;1217;23,5;54,5;1,5553;;
03/10/2004;11.00.00;-200;1165;-200;8,4;916;-200;711;-200;1517;1093;25,7;46,6;1,5105;;
03/10/2004;12.00.00;-200;1229;-200;11,3;1025;-200;663;-200;1588;1073;26,6;43,7;1,5031;;
03/10/2004;13.00.00;-200;1168;-200;8,3;911;-200;715;-200;1517;969;27,4;41,8;1,5056;;
03/10/2004;14.00.00;-200;1092;-200;6,0;814;-200;794;-200;1446;777;27,4;42,8;1,5344;;
03/10/2004;15.00.00;-200;1109;-200;6,7;843;-200;769;-200;1458;743;27,1;43,3;1,5255;;
03/10/2004;16.00.00;-200;1133;-200;6,2;823;-200;775;-200;1449;777;26,9;44,4;1,5510;;
03/10/2004;17.00.00;-200;1192;-200;7,7;887;-200;716;-200;1488;819;26,9;44,4;1,5538;;
03/10/2004;18.00.00;-200;1298;-200;11,0;1015;-200;647;-200;1619;1056;24,7;51,9;1,5868;;
03/10/2004;19.00.00;-200;1524;-200;20,8;1320;-200;514;-200;1925;1481;23,7;55,6;1,6074;;
03/10/2004;20.00.00;-200;1540;-200;21,4;1336;-200;498;-200;1929;1590;22,7;59,6;1,6261;;
03/10/2004;21.00.00;-200;1190;-200;10,4;992;-200;654;-200;1587;1211;21,9;61,4;1,5946;;
03/10/2004;22.00.00;-200;1092;-200;8,3;911;-200;735;-200;1506;1052;22,0;59,8;1,5620;;
03/10/2004;23.00.00;-200;1079;-200;7,8;890;-200;745;-200;1522;1000;20,5;64,9;1,5473;;
04/10/2004;00.00.00;-200;995;-200;5,5;789;-200;828;-200;1432;874;19,8;66,9;1,5277;;
04/10/2004;01.00.00;-200;960;-200;5,2;772;-200;838;-200;1431;852;18,4;71,6;1,4997;;
04/10/2004;02.00.00;-200;890;-200;3,2;666;-200;969;-200;1323;728;18,9;68,6;1,4818;;
04/10/2004;03.00.00;-200;860;-200;2,7;632;-200;1037;-200;1322;713;17,8;72,3;1,4546;;
04/10/2004;04.00.00;-200;860;-200;3,0;652;-200;997;-200;1326;734;17,1;73,9;1,4262;;
04/10/2004;05.00.00;-200;883;-200;4,0;713;-200;937;-200;1351;777;17,7;70,3;1,4088;;
04/10/2004;06.00.00;-200;929;-200;5,6;795;-200;858;-200;1373;815;17,1;71,8;1,3936;;
04/10/2004;07.00.00;-200;1100;-200;11,1;1018;-200;706;-200;1573;1002;18,3;67,5;1,4044;;
04/10/2004;08.00.00;-200;1257;-200;20,1;1299;-200;550;-200;1864;1302;18,5;67,0;1,4135;;
04/10/2004;09.00.00;-200;1402;-200;23,6;1393;-200;505;-200;1967;1542;19,9;61,7;1,4193;;
04/10/2004;10.00.00;-200;1376;-200;21,0;1324;-200;527;-200;1886;1571;22,9;52,6;1,4519;;
04/10/2004;11.00.00;-200;1374;-200;21,8;1346;-200;519;-200;1910;1614;24,2;49,0;1,4586;;
04/10/2004;12.00.00;-200;1381;-200;22,1;1355;-200;516;-200;1931;1583;25,8;44,7;1,4590;;
04/10/2004;13.00.00;-200;1282;-200;18,2;1247;-200;561;-200;1829;1285;26,0;44,5;1,4731;;
04/10/2004;14.00.00;-200;1188;-200;14,2;1124;-200;625;-200;1655;1094;27,1;40,2;1,4217;;
04/10/2004;15.00.00;-200;1227;-200;14,9;1147;-200;612;-200;1707;1113;27,4;39,8;1,4318;;
04/10/2004;16.00.00;-200;1364;-200;21,1;1328;-200;528;-200;1898;1395;28,9;36,3;1,4291;;
04/10/2004;17.00.00;-200;1531;-200;30,3;1558;-200;451;-200;2181;1620;28,4;37,5;1,4251;;
04/10/2004;18.00.00;-200;1694;-200;41,6;1805;-200;391;-200;2523;1882;26,0;43,9;1,4562;;
04/10/2004;19.00.00;-200;1723;-200;44,7;1866;-200;378;-200;2612;2006;24,3;49,6;1,4860;;
04/10/2004;20.00.00;-200;1356;-200;21,3;1331;-200;520;-200;1925;1643;23,3;53,0;1,4939;;
04/10/2004;21.00.00;-200;1084;-200;10,0;979;-200;699;-200;1539;1239;22,6;55,1;1,4899;;
04/10/2004;22.00.00;-200;1039;-200;8,9;936;-200;731;-200;1499;1121;21,2;59,3;1,4787;;
04/10/2004;23.00.00;-200;1011;-200;7,4;875;-200;787;-200;1446;1012;20,6;60,9;1,4642;;
05/10/2004;00.00.00;-200;968;-200;6,4;831;-200;810;-200;1425;961;20,0;63,1;1,4592;;
05/10/2004;01.00.00;-200;867;-200;3,7;693;-200;971;-200;1335;825;19,7;63,4;1,4383;;
05/10/2004;02.00.00;-200;820;-200;2,5;620;-200;1081;-200;1270;703;20,8;58,8;1,4305;;
05/10/2004;03.00.00;-200;826;-200;2,7;631;-200;1072;-200;1280;752;17,8;69,8;1,4058;;
05/10/2004;04.00.00;-200;835;-200;2,5;620;-200;1053;-200;1260;741;18,8;65,3;1,4023;;
05/10/2004;05.00.00;-200;887;-200;4,1;717;-200;955;-200;1334;786;17,6;69,5;1,3889;;
05/10/2004;06.00.00;-200;990;-200;7,8;889;-200;763;-200;1450;952;17,4;69,7;1,3714;;
05/10/2004;07.00.00;-200;1511;-200;30,8;1569;-200;476;-200;2195;1601;17,4;70,1;1,3783;;
05/10/2004;08.00.00;-200;1352;-200;26,4;1465;-200;491;-200;1998;1621;18,5;65,5;1,3787;;
05/10/2004;09.00.00;-200;1337;-200;21,6;1339;-200;525;-200;1870;1622;20,6;58,5;1,4054;;
